orderid,first_x,first_y,last_x,last_y
1098610,121.426,31.277,121.429,31.277
19692,121.48,31.34,121.493,31.337
856636,121.467,31.325,121.468,31.325
1411056,121.428,31.13,121.435,31.153
610987,121.349,31.209,121.356,31.215
1481595,121.467,31.195,121.468,31.201
11907,121.447,31.161,121.457,31.123
1088308,121.456,31.256,121.471,31.25
12271,121.456,31.338,121.459,31.335
1444776,121.486,31.302,121.515,31.303
1570416,121.542,31.267,121.544,31.273
766980,121.427,31.251,121.431,31.247
557492,121.493,31.315,121.493,31.316
296214,121.449,31.252,121.457,31.241
1177650,121.32,31.283,121.324,31.296
1570870,121.416,31.216,121.44,31.196
860098,121.43,31.265,121.473,31.26
1531104,121.456,31.15,121.464,31.162
151508,121.452,31.26,121.458,31.259
329151,121.485,31.314,121.488,31.314
923914,121.429,31.298,121.448,31.31
803386,121.368,31.252,121.391,31.269
1004842,121.48,31.206,121.482,31.203
63949,121.529,31.285,121.54,31.266
946791,121.406,31.207,121.408,31.216
367329,121.456,31.185,121.477,31.207
1106156,121.473,31.317,121.483,31.32
1111922,121.386,31.137,121.388,31.134
1333035,121.452,31.182,121.463,31.181
1388858,121.539,31.314,121.543,31.327
470448,121.383,31.207,121.386,31.215
366376,121.494,31.217,121.498,31.216
1046551,121.376,31.318,121.378,31.318
633651,121.532,31.323,121.538,31.324
93168,121.436,31.254,121.441,31.256
1044050,121.403,31.133,121.406,31.129
810203,121.436,31.168,121.475,31.194
808046,121.499,31.308,121.513,31.304
343943,121.397,31.256,121.397,31.258
935908,121.433,31.32,121.444,31.321
60822,121.386,31.251,121.39,31.258
1146844,121.443,31.216,121.445,31.214
